text,date,retweets,favorites,negative,neutral,positive,compound
You could be whole ass be dying and still tryna share yo moments on Snapchat,2018-02-25 15:59:42,0,1,0.187,0.695,0.118,-0.3182
مافيه حاجه مفيده Add me on Snapchat! Username: shasha85 https://www.snapchat.com/add/shasha85,2018-02-25 15:59:41,0,0,0.0,1.0,0.0,0.0
The amount of times that I Snapchat the wrong person because of this new update is absurd!! Bring the old format back!! You are destroying friendships @ Snapchat,2018-02-25 15:59:34,0,3,0.235,0.687,0.078,-0.7405
I gotta say... seeing people thru Snapchat filters with animal features just never gets old,2018-02-25 15:59:16,0,3,0.0,1.0,0.0,0.0
Nigga answer my snapchat @ CHRISTIAN14_24,2018-02-25 15:59:02,0,0,0.0,1.0,0.0,0.0
Modern detritus is other people's incredibly specific custom Snapchat geotags,2018-02-25 15:59:00,0,2,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:58:56,0,0,0.0,0.75,0.25,0.6514
"Deleted @ Snapchat again today. This time, I think for good. I just don’t see a need for it anymore. $ SNAP",2018-02-25 15:58:54,0,2,0.0,0.847,0.153,0.4404
I love my Granny! Check out my story on Snapchat. Add me on Snapchat! Username: djslurpy https://www.snapchat.com/add/djslurpy,2018-02-25 15:58:51,0,0,0.0,0.758,0.242,0.6988
When @ STVRMA catches your drunk ass on Snapchat,2018-02-25 15:58:46,0,2,0.496,0.504,0.0,-0.7096
se for punheta dá pra viver miga mas nude com filtro de cachorro do falecido snapchat é difícil de perdoar,2018-02-25 15:58:27,0,0,0.0,1.0,0.0,0.0
When @ johnrethx and @ empathetiic Snapchat’s stories are side by side the level of talent they have for makeup stuns me,2018-02-25 15:58:20,0,7,0.0,0.822,0.178,0.4404
"Imagine you can’t slide snap messages anymore, I’m done till Snapchat fix up kmt",2018-02-25 15:58:09,0,0,0.0,1.0,0.0,0.0
"Cuarta vez que me bajo snapchat y me creo una cuenta diferente pq no aprendo a usarlo, creo que no va ser la excepción",2018-02-25 15:57:54,0,1,0.18,0.82,0.0,-0.5267
Snapchat passa a oferecer integração com GIPHY e prepara mais novidades http://dlvr.it/QHpxYt pic.twitter.com/n35QsGHqRw,2018-02-25 15:57:43,0,0,0.0,1.0,0.0,0.0
@ GraysonDolan Can you do those goodnight vids again on snapchat?,2018-02-25 15:57:43,0,0,0.0,1.0,0.0,0.0
I don't know how to use the fucking new snapchat. It fucking sucks. It was SO much better before. Gotta stick with instagram.,2018-02-25 15:57:28,0,0,0.105,0.75,0.145,0.269
I see way too many Snapchat stories of fortnite screens in a day,2018-02-25 15:57:25,0,15,0.0,1.0,0.0,0.0
Not sure how to work Snapchat after the update,2018-02-25 15:57:15,0,0,0.0,0.777,0.223,0.3182
Disingenuous party people on snap chat stories putting disingenuous party people on their snap chat stories.. doesn't it all look like fun??,2018-02-25 15:57:06,0,5,0.0,0.609,0.391,0.89
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:57:03,0,0,0.0,0.75,0.25,0.6514
You know it’s nice outside when you open Snapchat and see 10+ stories of the sunset,2018-02-25 15:56:32,0,10,0.0,0.843,0.157,0.4215
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:56:26,0,0,0.0,0.75,0.25,0.6514
La típica de snapchat jajaj https://twitter.com/guachim_/status/967550059708669954 …,2018-02-25 15:56:22,0,0,0.0,1.0,0.0,0.0
"I am a Samsung Mobile user myself, but is the camera for Snapchat better or at least matches with Iphone's Snapchat camera? Because I may be switching to Iphone soon.",2018-02-25 15:56:19,0,0,0.0,0.871,0.129,0.5927
@ dhfhhdgjb ⠀⠀⠀⠀⠀ ❈ ⁽ ✿ ₎❈↴ * ⠀ ﴿- • # أحببتك حتى انني تخليت عن كل العالم وتوحدت بك * # جديدي ضيفوني سناب snap chat: Ahmed-968 اذا عجبك شارك انشر سوي اللي تبيه ֆ'ֆ'⠀ ⠀⠀ ♪ ⠀◄◂⠀▮▮⠀▸► ♫⠀ pic.twitter.com/lFdtcH6Vkh,2018-02-25 15:56:17,0,0,0.0,1.0,0.0,0.0
I wish Snapchat had a filter to show what song you were listening to,2018-02-25 15:56:04,0,3,0.0,0.803,0.197,0.4019
Molly just opened my snapchat x,2018-02-25 15:55:51,0,0,0.0,1.0,0.0,0.0
I just posted a picture of me crying to my Snapchat story so yeah ask me how Pisces season is going.,2018-02-25 15:55:37,0,1,0.135,0.74,0.125,-0.0602
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:55:36,0,0,0.0,0.75,0.25,0.6514
Snapchat Murders Still Not a Cold Case https://lnkd.in/eBC3nYV,2018-02-25 15:55:32,0,0,0.4,0.6,0.0,-0.6124
"Llegas a tu casa, metes Twitter, Instagram, Snapchat... Y te das cuenta que no prendiste el wifi # chaudatos # soyunapelotudapic.twitter.com/LBr7fG0RFo",2018-02-25 15:55:32,0,2,0.121,0.879,0.0,-0.296
yep and she would get fed up and shade us on her snapchat we were a mess https://twitter.com/quitjennie/status/967909042843803648 …,2018-02-25 15:55:23,0,4,0.127,0.761,0.112,-0.0772
"# RediffStrasbourg: Il écrit à des adolescentes sur Snapchat, ils le frappent et l'affichent comme pédophile sur Facebook http://bit.ly/2sWa8l8 pic.twitter.com/BrtfzkUHL0",2018-02-25 15:55:18,7,2,0.0,1.0,0.0,0.0
"Anyone else go to write a caption on Snapchat, move it up a wee bit then it gets binned nd am too lazy to type it out again so it gets patched",2018-02-25 15:55:15,0,3,0.079,0.921,0.0,-0.3612
Snapchat filters for the win. Always. pic.twitter.com/gUVlUOCI89,2018-02-25 15:55:06,0,30,0.0,0.612,0.388,0.5859
Along with the new update snapchat decided to unblock everyone I’d blocked ... okay cute,2018-02-25 15:54:47,0,1,0.111,0.632,0.258,0.4215
"if i ever leave you on open on snapchat, i’m probably on the toilet",2018-02-25 15:54:41,0,1,0.091,0.909,0.0,-0.0516
"When the guy you like messages you on Snapchat and without opening it, knowing it’s going to say “stop sending me shit”",2018-02-25 15:54:41,0,1,0.0,0.894,0.106,0.3612
I either need to remember to screenshot photos of me and pals on snapchat or actually remember to take my own,2018-02-25 15:54:36,0,0,0.0,1.0,0.0,0.0
Snapchat - olivia_goldiex,2018-02-25 15:54:30,1,1,0.0,1.0,0.0,0.0
Só o que me faltava minha mãe no snapchat,2018-02-25 15:54:28,0,4,0.239,0.761,0.0,-0.296
"me: glances at feed me: “idk why there’s a dick pic on snapchat but okay” me, seconds later: “Oh” pic.twitter.com/ExNMgAyT5v",2018-02-25 15:54:26,0,3,0.107,0.893,0.0,-0.2846
I have Snapchat but no friends,2018-02-25 15:54:14,0,0,0.281,0.302,0.417,0.3291
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:54:11,0,0,0.0,0.75,0.25,0.6514
