text,date,retweets,favorites,negative,neutral,positive,compound
Think am the only person that actually doesn't mind the @ Snapchat update hahahaha.,2018-02-18 15:59:51,0,0,0.0,1.0,0.0,0.0
Snapchat suck !,2018-02-18 15:59:50,0,0,0.761,0.239,0.0,-0.4926
Go on snapchat on the band account @ TheHaraJosh,2018-02-18 15:59:49,0,0,0.0,1.0,0.0,0.0
Surprised that SnapChat hasn't quickly reversed the updates that so many seem to hate globally. Shareholders Vs Users?,2018-02-18 15:59:48,0,0,0.171,0.741,0.088,-0.4215
some guys need to learn how to respect women.. just because a girl adds you back on snapchat doesn’t mean she wants to hook up with you.. we are not objects you can just use.,2018-02-18 15:59:48,2,6,0.0,0.914,0.086,0.4767
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:59:47,0,0,0.0,0.75,0.25,0.6514
Noche de snapchat,2018-02-18 15:59:46,0,0,0.0,1.0,0.0,0.0
"I liked a @ YouTube video http://youtu.be/_E96rmxndgQ?a  Manny MUA Gets PR Makeup From Jeffree , Nikkie Tutorials Snapchat Rant!",2018-02-18 15:59:43,0,0,0.13,0.703,0.167,0.1759
I'm gonna be late to see their Snapchat stories now,2018-02-18 15:59:40,0,1,0.0,1.0,0.0,0.0
don’t go whining on snapchat about your problems if you’re not gonna let people help you and pretend nothings wrong,2018-02-18 15:59:37,0,6,0.34,0.56,0.101,-0.6597
"Thanks to Snapchat, I finally am able to do the floss!!! pic.twitter.com/bqpWKl2psW",2018-02-18 15:59:37,0,0,0.0,0.726,0.274,0.5826
For me only because I don’t do Instagram or Facebook anymore and I just figured out Snapchat then they went and messed it up,2018-02-18 15:59:27,0,0,0.103,0.897,0.0,-0.34
snapchat WAS my favorite social media app until the new update,2018-02-18 15:59:27,0,3,0.0,0.769,0.231,0.4588
here’s more ugly snapchat pictures pic.twitter.com/AsdA5MrG5b,2018-02-18 15:59:19,0,1,0.418,0.582,0.0,-0.5563
Wish snapchat had notifications for stories even more so now with this pathetic update,2018-02-18 15:59:18,0,0,0.229,0.629,0.142,-0.397
Snapchat ha cambiado tanto que no sé ni como va,2018-02-18 15:59:17,0,0,0.175,0.635,0.19,0.0516
I don't even touch the right side of snapchat. So stupid. Like if I wanted to add all the celebs then I would have done that myself.,2018-02-18 15:59:11,1,3,0.13,0.773,0.098,-0.2298
"YO WTF TODAY I was watching a snap video of a party and One Night was playing in the background... the snap ends and I still hear One Night in the background... so I chose Snapchat and open it again, to make sure I’m not tripping and then I realize it’s my fuckin sister HOW DOES",2018-02-18 15:59:09,0,1,0.079,0.802,0.119,0.0688
"Memes, Snapchat, and Cloud: Damn, this cloud looks like my snapchat feed http://dlvr.it/QGv0kq pic.twitter.com/WuaTfeVWh9",2018-02-18 15:59:06,0,0,0.167,0.679,0.154,-0.0516
"Snapchat/Insta stories/Facebook Live/Periscope, WHATEVER! That needs to on and popping. https://twitter.com/thehill/status/965312219302060032 …",2018-02-18 15:58:56,1,0,0.0,1.0,0.0,0.0
Trynna show off all on Snapchat w my chain around your neck,2018-02-18 15:58:55,0,0,0.0,1.0,0.0,0.0
Quel génie va détrôné Snapchat parce que la ......,2018-02-18 15:58:55,0,1,0.0,1.0,0.0,0.0
Gente bonita fica no Instagram Gente que quer se aparecer e quer ver memes fica no fecebook Gente que quer efeito do cachorrinho fica no snapchat Gente que quer namorar fica no Tinder E o resto fica aqui,2018-02-18 15:58:52,1,5,0.221,0.779,0.0,-0.7783
hey at least 5sos snapchat got the date right,2018-02-18 15:58:52,0,0,0.0,1.0,0.0,0.0
damn snapchat what kinda filter u servin up? pic.twitter.com/dH5Q4xZoPR,2018-02-18 15:58:51,0,2,0.278,0.722,0.0,-0.4019
Ohhh noooo!!!!Whaaaaa???Howwwww??? My FAVE day of the week and I forgot ‘SnapChat… https://www.instagram.com/p/BfW3dQTgsK_/,2018-02-18 15:58:47,0,0,0.0,0.656,0.344,0.7757
What you talking about in the Snapchat gc — Shaving atm https://curiouscat.me/CalumChambersFC/post/327591742?1518998246 …,2018-02-18 15:58:47,0,0,0.0,1.0,0.0,0.0
Bruh some girl I know from high school just made $4500 from selling nudes on Snapchat. Anyone wanna buy some nip pics,2018-02-18 15:58:46,3,5,0.0,1.0,0.0,0.0
Snapchat fail. https://youtu.be/jxSvsUWE2vo # snapchat # YouTube # love # f4f # RT2GAIN,2018-02-18 15:58:46,0,1,0.255,0.438,0.307,0.1779
I’m tryna get with the new Snapchat but I cuh not shit weak now,2018-02-18 15:58:45,0,0,0.0,0.611,0.389,0.7903
10 yo- uh My snap story dropped 15 views bc of this update!! Ugh!!!! Famous person- shit my paycheck just went down $100 oh noooooo!!!!! Fuck you snapchat and YouTube!,2018-02-18 15:58:45,1,8,0.228,0.772,0.0,-0.8507
"Tbh my greatest talent is getting left on ""opened"" on Snapchat am I that bad?",2018-02-18 15:58:45,0,0,0.163,0.512,0.326,0.5423
Snapchat’s Foursquare and Factual partnerships double geofilter usage http://rviv.ly/r6dN9,2018-02-18 15:58:34,1,1,0.0,1.0,0.0,0.0
"i was tryin to get used to the snapchat update but i feel like i ain’t seeing everyone’s stories anymore, especially the people you’re “subscribed” to now, i liked it better when they were with all the stories of your friends",2018-02-18 15:58:31,0,0,0.0,0.688,0.312,0.9428
Twinkle twinkle little dick? # snapchat # notforchildren,2018-02-18 15:58:31,0,0,0.376,0.624,0.0,-0.4601
RT kittykatluna_: Go add RTVerified ok Snapchat to see my takeover!!! Don’t miss out! RedTube pic.twitter.com/fyz1RhUj8A,2018-02-18 15:58:29,0,1,0.084,0.738,0.178,0.4153
Help my mother added me on Snapchat what do???,2018-02-18 15:58:28,0,0,0.0,0.712,0.288,0.5007
