username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
SargentSill,Interesting...United Airlines showed that show onboard our August 16th flight. # funny # Stamoshttps://twitter.com/DChandleyFOX5/status/649009948341485568 …,2015-09-29 16:59:43,,# #,,0,0,649010698752798721,https://twitter.com/SargentSill/status/649010698752798721
ms_sara_glaser,"@ UnitedAirlines_ yes, may I DM it to you?",2015-09-29 16:57:10,@,,,0,0,649010058966102016,https://twitter.com/ms_sara_glaser/status/649010058966102016
LGadke,@ aaroncarter @ dcairports @ UnitedAirlines I am so sorry about that. I love you very much.,2015-09-29 16:50:58,@ @ @,,,0,0,649008496411811841,https://twitter.com/LGadke/status/649008496411811841
TravelIndustry2,United Airlines Faces Steep Ascent In Not-So-Friendly Skies - NPR http://dlvr.it/CJN0k8,2015-09-29 16:35:33,,,,0,0,649004617708101632,https://twitter.com/TravelIndustry2/status/649004617708101632
ashishpanchal14,United Airlines Faces Steep Ascent In Not-So-Friendly Skies http://www.npr.org/2015/09/28/443089396/united-airlines-faces-steep-ascent-in-not-so-friendly-skies?utm_medium=RSS&utm_campaign=business …,2015-09-29 16:02:53,,,,0,0,648996399145689088,https://twitter.com/ashishpanchal14/status/648996399145689088
AviationJobsMe,# NowHiring # JobHunt All fleets Non Type Rated First Officers United Airlines US http://2applyclick.me/1h8C49P # HumanResources # HR,2015-09-29 16:02:33,,# # # #,,1,0,648996314374533121,https://twitter.com/AviationJobsMe/status/648996314374533121
TonieSnell,"# UnitedAirlines Faces Steep Ascent In Not-So-Friendly Skies. ""Not that great"", nowhere near clean: @ NPR http://buff.ly/1ReDQn3",2015-09-29 16:01:52,@,#,,0,0,648996140420087808,https://twitter.com/TonieSnell/status/648996140420087808
DeltaBravo33,Instagram : by geminijets757 - United Airlines 757 taking off from 22R at BOS pic.twitter.com/bX1BuCiBD2,2015-09-29 15:57:49,,,,0,0,648995123230064641,https://twitter.com/DeltaBravo33/status/648995123230064641
DeltaBravo33,Instagram : by geminijets757 - United Airlines 757 taking off from 22R at BOS pic.twitter.com/EPhyJT5Ohy,2015-09-29 15:57:21,,,,0,0,648995006641012737,https://twitter.com/DeltaBravo33/status/648995006641012737
randyserious,It's not like you didn't know we were coming @ UnitedAirlines # iah from Denver. Standing by. 20 minutes and countingpic.twitter.com/kflyzC6FsD,2015-09-29 15:56:05,@,#,,0,0,648994687051763713,https://twitter.com/randyserious/status/648994687051763713
Aircrews,United # Airlines CEO Jeff Smisek steps down amid probe - http://StreetInsider.com http://fat.ly/5ewd,2015-09-29 15:41:04,,#,,0,0,648990907803430912,https://twitter.com/Aircrews/status/648990907803430912
suzzsTravels,"Lax to San Pedro Sula, Honduras $363 on United Airlines travel departing end of Oct no Thurs/Fri departures & Nov 3,10",2015-09-29 15:40:26,,,,0,0,648990745727234048,https://twitter.com/suzzsTravels/status/648990745727234048
leeodonnell23,I have ZERO confidence I'll make my connection in LAX on # unitedairlines nevermind my # baggage making… https://instagram.com/p/8O0jfTl2Kz/,2015-09-29 15:39:17,,# #,,0,1,648990458304196608,https://twitter.com/leeodonnell23/status/648990458304196608
PrefConvSvcs,Via @ NPR: United Airlines Faces Steep Ascent In Not-So-Friendly Skies http://n.pr/1KBzP6D # flights # airlines # flighttips,2015-09-29 15:38:03,@,# # #,,0,0,648990145908117504,https://twitter.com/PrefConvSvcs/status/648990145908117504
