username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
bhardy1699,You could be whole ass be dying and still tryna share yo moments on Snapchat,2018-02-25 15:59:42,[''],[''],,0,1,967912016701739008,https://twitter.com/bhardy1699/status/967912016701739008
shashawbs,مافيه حاجه مفيده Add me on Snapchat! Username: shasha85 https://www.snapchat.com/add/shasha85,2018-02-25 15:59:41,[''],[''],,0,0,967912014642339840,https://twitter.com/shashawbs/status/967912014642339840
nikaswatts11,The amount of times that I Snapchat the wrong person because of this new update is absurd!! Bring the old format back!! You are destroying friendships @ Snapchat,2018-02-25 15:59:34,['Snapchat'],[''],,0,3,967911985621938176,https://twitter.com/nikaswatts11/status/967911985621938176
YNOTLAJ,I gotta say... seeing people thru Snapchat filters with animal features just never gets old,2018-02-25 15:59:16,[''],[''],,0,3,967911907876331520,https://twitter.com/YNOTLAJ/status/967911907876331520
nataliaa_vidal,Nigga answer my snapchat @ CHRISTIAN14_24,2018-02-25 15:59:02,['CHRISTIAN14_24'],[''],,0,0,967911848128348160,https://twitter.com/nataliaa_vidal/status/967911848128348160
therulesetlite,Modern detritus is other people's incredibly specific custom Snapchat geotags,2018-02-25 15:59:00,[''],[''],,0,2,967911841631473666,https://twitter.com/therulesetlite/status/967911841631473666
Sultan27141830,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:58:56,[''],[''],,0,0,967911825730875393,https://twitter.com/Sultan27141830/status/967911825730875393
Jeff_Wallick,"Deleted @ Snapchat again today. This time, I think for good. I just don’t see a need for it anymore. $ SNAP",2018-02-25 15:58:54,[u'Snapchat'],[''],,0,2,967911816948011008,https://twitter.com/Jeff_Wallick/status/967911816948011008
djrhett1,I love my Granny! Check out my story on Snapchat. Add me on Snapchat! Username: djslurpy https://www.snapchat.com/add/djslurpy,2018-02-25 15:58:51,[''],[''],,0,0,967911802821595137,https://twitter.com/djrhett1/status/967911802821595137
theshort_one,When @ STVRMA catches your drunk ass on Snapchat,2018-02-25 15:58:46,['STVRMA'],[''],,0,2,967911782693027840,https://twitter.com/theshort_one/status/967911782693027840
fofongs,se for punheta dá pra viver miga mas nude com filtro de cachorro do falecido snapchat é difícil de perdoar,2018-02-25 15:58:27,[''],[''],,0,0,967911703383076864,https://twitter.com/fofongs/status/967911703383076864
noahcwarner26,When @ johnrethx and @ empathetiic Snapchat’s stories are side by side the level of talent they have for makeup stuns me,2018-02-25 15:58:20,"[u'johnrethx', u'empathetiic']",[''],,0,7,967911674387812352,https://twitter.com/noahcwarner26/status/967911674387812352
ilhanxden,"Imagine you can’t slide snap messages anymore, I’m done till Snapchat fix up kmt",2018-02-25 15:58:09,[''],[''],,0,0,967911628128817153,https://twitter.com/ilhanxden/status/967911628128817153
GrossMatias,"Cuarta vez que me bajo snapchat y me creo una cuenta diferente pq no aprendo a usarlo, creo que no va ser la excepción",2018-02-25 15:57:54,[''],[''],,0,1,967911564757086208,https://twitter.com/GrossMatias/status/967911564757086208
gespeschit,Snapchat passa a oferecer integração com GIPHY e prepara mais novidades http://dlvr.it/QHpxYt pic.twitter.com/n35QsGHqRw,2018-02-25 15:57:43,[''],[''],,0,0,967911517298372608,https://twitter.com/gespeschit/status/967911517298372608
aaliyah_koutnik,@ GraysonDolan Can you do those goodnight vids again on snapchat?,2018-02-25 15:57:43,['GraysonDolan'],[''],,0,0,967911516925243392,https://twitter.com/aaliyah_koutnik/status/967911516925243392
BadCayn,I don't know how to use the fucking new snapchat. It fucking sucks. It was SO much better before. Gotta stick with instagram.,2018-02-25 15:57:28,[''],[''],,0,0,967911455084380161,https://twitter.com/BadCayn/status/967911455084380161
selnguyenn,I see way too many Snapchat stories of fortnite screens in a day,2018-02-25 15:57:25,[''],[''],,0,15,967911441314537472,https://twitter.com/selnguyenn/status/967911441314537472
MTWence,Not sure how to work Snapchat after the update,2018-02-25 15:57:15,[''],[''],,0,0,967911402202718208,https://twitter.com/MTWence/status/967911402202718208
aaronsasleep,Disingenuous party people on snap chat stories putting disingenuous party people on their snap chat stories.. doesn't it all look like fun??,2018-02-25 15:57:06,[''],[''],,0,5,967911364978241537,https://twitter.com/aaronsasleep/status/967911364978241537
tmdemarzo,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:57:03,[''],[''],,0,0,967911350566518785,https://twitter.com/tmdemarzo/status/967911350566518785
kbernecker17,You know it’s nice outside when you open Snapchat and see 10+ stories of the sunset,2018-02-25 15:56:32,[''],[''],,0,10,967911219117031424,https://twitter.com/kbernecker17/status/967911219117031424
22_abid,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:56:26,[''],[''],,0,0,967911195817791488,https://twitter.com/22_abid/status/967911195817791488
aguuscah,La típica de snapchat jajaj https://twitter.com/guachim_/status/967550059708669954 …,2018-02-25 15:56:22,[''],[''],,0,0,967911177861910528,https://twitter.com/aguuscah/status/967911177861910528
villamessi7,"I am a Samsung Mobile user myself, but is the camera for Snapchat better or at least matches with Iphone's Snapchat camera? Because I may be switching to Iphone soon.",2018-02-25 15:56:19,[''],[''],,0,0,967911165421670401,https://twitter.com/villamessi7/status/967911165421670401
dhfhhdgjb,@ dhfhhdgjb ⠀⠀⠀⠀⠀ ❈ ⁽ ✿ ₎❈↴ * ⠀ ﴿- • # أحببتك حتى انني تخليت عن كل العالم وتوحدت بك * # جديدي ضيفوني سناب snap chat: Ahmed-968 اذا عجبك شارك انشر سوي اللي تبيه ֆ'ֆ'⠀ ⠀⠀ ♪ ⠀◄◂⠀▮▮⠀▸► ♫⠀ pic.twitter.com/lFdtcH6Vkh,2018-02-25 15:56:17,[u'dhfhhdgjb'],"[u'', u'']",,0,0,967911155598614528,https://twitter.com/dhfhhdgjb/status/967911155598614528
nicole_shearing,I wish Snapchat had a filter to show what song you were listening to,2018-02-25 15:56:04,[''],[''],,0,3,967911103635382272,https://twitter.com/nicole_shearing/status/967911103635382272
EllieMcKnight10,Molly just opened my snapchat x,2018-02-25 15:55:51,[''],[''],,0,0,967911046693445633,https://twitter.com/EllieMcKnight10/status/967911046693445633
