username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
seancarp,Thanks to the amazing team at @ United for the Silver Elite upgrade to 1st Class on the final… https://www.instagram.com/p/Betq8BbBPRE/,2018-02-02 15:59:13,[u'United'],[''],,0,0,959576972920684544,https://twitter.com/seancarp/status/959576972920684544
andrew_kalman,"Honestly, United/Continental and American are the best of any of the others. NEVER fly Spirit. Southwest is good and all, but you get what you pay for. Frontier was really good but really expensive. Delta wasn’t that great either. I use United and love their Continental line.",2018-02-02 15:58:49,[''],[''],,0,0,959576874967097344,https://twitter.com/andrew_kalman/status/959576874967097344
alecki1972,"Join me at 2018 United Airlines Rock 'n' Roll Washington DC Marathon & 1/2 Marathon on March 10, 2018! http://www.runrocknroll.com/dc/?rf=MV3ee2qiu2qa6nE73uBz2U3e&ts=T … # grind",2018-02-02 15:58:34,[''],[u'grind'],,0,0,959576813159796738,https://twitter.com/alecki1972/status/959576813159796738
bladddski,"Reminded why I don’t fly @ Delta anymore. Wow, what kind of service is that?!?! Going back to @ united",2018-02-02 15:58:25,"[u'Delta', u'united']",[''],,0,1,959576771279704065,https://twitter.com/bladddski/status/959576771279704065
nonsugaradded,Mi inglés sufre.,2018-02-02 15:58:11,[''],[''],,0,3,959576713142423552,https://twitter.com/nonsugaradded/status/959576713142423552
H_Rob10,"It’s Flight #4886 from Newark, NJ",2018-02-02 15:57:55,[''],[''],,0,0,959576647363067907,https://twitter.com/H_Rob10/status/959576647363067907
united,"Hey Brian, which flight are you on today? ^TP",2018-02-02 15:57:55,[''],[''],,0,0,959576645978939393,https://twitter.com/united/status/959576645978939393
united,"Thanks for reaching out to our team members, Robbie. We hope to have you on board with us in the future. ^MD",2018-02-02 15:57:24,[''],[''],,0,0,959576518656585728,https://twitter.com/united/status/959576518656585728
quiz_viajero,Hahahajaja. So sorry,2018-02-02 15:57:14,[''],[''],,0,1,959576475602210816,https://twitter.com/quiz_viajero/status/959576475602210816
nonsugaradded,Estop escribeiting coNunidad Me explotashion el TOC. Plischu.,2018-02-02 15:56:42,[''],[''],,1,4,959576342122696704,https://twitter.com/nonsugaradded/status/959576342122696704
united,"Hey David, what's your flight number? Are you now on your way? ^MD",2018-02-02 15:56:38,[''],[''],,0,1,959576323453628417,https://twitter.com/united/status/959576323453628417
bnickeson,The 4 of us flew for 120k miles!,2018-02-02 15:55:57,[''],[''],,0,0,959576153756332032,https://twitter.com/bnickeson/status/959576153756332032
united,"We're seeing that there was an aircraft swap for your flight on January 30th, which may explain why your seat was changed, Dean. ^KF",2018-02-02 15:55:16,[''],[''],,0,0,959575978958766080,https://twitter.com/united/status/959575978958766080
united,"Hey Grace, can we assist you with anything? What's going on? ^MD",2018-02-02 15:55:03,[''],[''],,0,0,959575927146496002,https://twitter.com/united/status/959575927146496002
quiz_viajero,Jelou my friend @ xoffpoppe. In the next días me subiré a un flight de @ united. Would be very lindo if sorteamos un sortier de @ United with the # ConunidadQV. What do u think about eso?,2018-02-02 15:55:03,"[u'xoffpoppe', u'united', u'United']",[u'ConunidadQV'],,0,20,959575924281872390,https://twitter.com/quiz_viajero/status/959575924281872390
FinanceRadr,Why United Airlines has got into a flap over a peacock... pic.twitter.com/mUBlrMvYKs,2018-02-02 15:52:55,[''],[''],,0,0,959575387947847681,https://twitter.com/FinanceRadr/status/959575387947847681
PaulineGraphics,This. Isn’t good when you have another flight to catch the next day. @ united would like to offer me a flight to SFO and the red eye to EWR. No thanks. pic.twitter.com/Cxd7Jl5dR2,2018-02-02 15:52:53,[u'united'],[''],,0,0,959575381559992320,https://twitter.com/PaulineGraphics/status/959575381559992320
user47,I started to read @ bnickeson's latest for @ AirlineReporter but stopped when I got to the part where he scored DEN-SFO-CPH for 30K @ United miles. I typically clear that level of earning in one year of # MileagePlusX spend. Compelling!,2018-02-02 15:52:28,"['bnickeson', 'AirlineReporter', 'United']",['MileagePlusX'],,0,2,959575275926446080,https://twitter.com/user47/status/959575275926446080
ServiceDog,United Airlines has joined Delta with tightening regulations concerning Service Dogs and ESAs.... https://fb.me/97xSbHBA7,2018-02-02 15:52:23,[''],[''],,0,1,959575256473198598,https://twitter.com/ServiceDog/status/959575256473198598
edhaberman,I hope @ united doesn’t change their policy on my # emotionalsupport chainsaw.,2018-02-02 15:52:16,[u'united'],[u'emotionalsupport'],,0,0,959575226068684800,https://twitter.com/edhaberman/status/959575226068684800
bstroh7,They keep bumping it back in 15 to 20 minute chunks. They did bring out the Doritos and granola bars tho,2018-02-02 15:51:59,[''],[''],,0,1,959575154832666629,https://twitter.com/bstroh7/status/959575154832666629
JackHokie,A United Airlines Passenger Found a 'Forever' Travel Voucher From 1998. Here's How United Responded... https://www.inc.com/bill-murphy-jr/a-united-airlines-passenger-found-a-forever-travel-voucher-from-1998-heres-how-united-responded.html … via @ Inc,2018-02-02 15:51:52,[u'Inc'],[''],,0,0,959575126831484928,https://twitter.com/JackHokie/status/959575126831484928
CTravlr,"Schedule padding in action? @ united 17 minute delay (likely longer), but we’re still arriving early. pic.twitter.com/3uSVyvpHLX",2018-02-02 15:51:49,[u'united'],[''],,0,0,959575114420490240,https://twitter.com/CTravlr/status/959575114420490240
allfinancialonl,By The Economist online ...read more Read more here: Why United Airlines has got into a flap over a peacock... https://fb.me/9eYz4Qwy1,2018-02-02 15:51:18,[''],[''],,0,0,959574981410779136,https://twitter.com/allfinancialonl/status/959574981410779136
allfinancialonl,Why United Airlines has got into a flap over a peacock http://www.allfinancialonline.com/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …pic.twitter.com/Zisx1oLPX7,2018-02-02 15:51:15,[''],[''],,0,0,959574970765635590,https://twitter.com/allfinancialonl/status/959574970765635590
united,"Hi there, Daniel. You may want to contact the airport directly to make sure that the times are correct. ^KF",2018-02-02 15:50:51,[''],[''],,0,1,959574870085419008,https://twitter.com/united/status/959574870085419008
AOPAnews,Spirit # Airlines # pilots' new contract could be bad news for United # Airlines - Chicago Business Journal :http://fat.ly/5xMxf,2018-02-02 15:50:48,[''],"[u'Airlines', u'pilots', u'Airlines']",,0,0,959574854855933952,https://twitter.com/AOPAnews/status/959574854855933952
Double_D_Man,Any Eta yet on when you will be on a flight?,2018-02-02 15:50:22,[''],[''],,0,0,959574748673052672,https://twitter.com/Double_D_Man/status/959574748673052672
bstroh7,This @ united delay from ORD to FSD is a killer,2018-02-02 15:49:23,['united'],[''],,0,1,959574499854299136,https://twitter.com/bstroh7/status/959574499854299136
3LWTV,Postcard duty. Lol,2018-02-02 15:49:22,[''],[''],,0,1,959574495982997505,https://twitter.com/3LWTV/status/959574495982997505
Lininha_FR,Oh Lord!,2018-02-02 15:47:25,[''],[''],,0,0,959574004377047040,https://twitter.com/Lininha_FR/status/959574004377047040
naldo_silva,My flight to São Paulo is supposed to leave Newark at 10pm. But it doesn’t seem like I’ll make there on time. @ AirCanada @ united,2018-02-02 15:47:07,"[u'AirCanada', u'united']",[''],,0,0,959573930502635520,https://twitter.com/naldo_silva/status/959573930502635520
united,"We're so glad to hear this, Amanda, and happy that she could lend a hand. ^KF",2018-02-02 15:45:55,[''],[''],,0,0,959573628441382913,https://twitter.com/united/status/959573628441382913
jpncar,Emotional support peacock barred from flying on United Airlines http://po.st/Ytyo6I  via @ SmithsonianMag - How far will we go???,2018-02-02 15:45:47,[u'SmithsonianMag'],[''],,0,0,959573593314164737,https://twitter.com/jpncar/status/959573593314164737
naldo_silva,"First, the pilot got late to the airport, then a passenger decided to leave the flight before it took off and finally, Newark Airport is closed. My flight was supposed to leave at 4pm, and now it’s already 6:45pm. Hey @ AirCanada and @ united, what happens if I can’t make it?",2018-02-02 15:45:29,"[u'AirCanada', u'united']",[''],,0,0,959573518420606976,https://twitter.com/naldo_silva/status/959573518420606976
MarketingGurus2,Why United Airlines has got into a flap over a peacock - FEDERAL guidelines in America stipulate that airlines must allow passengers with disabilities to bring support animals onto flights. The rules were originally designed with guide dogs for the bl... http://ow.ly/Lp7050glSYD,2018-02-02 15:45:28,[''],[''],,2,3,959573513551142912,https://twitter.com/MarketingGurus2/status/959573513551142912
AshBenton,Safe travels brother!!! I’m sending my new address!,2018-02-02 15:45:13,[''],[''],,0,1,959573449613217795,https://twitter.com/AshBenton/status/959573449613217795
maddyconestoga,United Airlines releases new emotional animal support policy. https://madisonkroner.wordpress.com/2018/02/02/united-airlines-releases-new-emotional-animal-support-policy/ …pic.twitter.com/D4SAQ0CCM7,2018-02-02 15:44:58,[''],[''],,0,0,959573387361341440,https://twitter.com/maddyconestoga/status/959573387361341440
3LWTV,No Dubai this trip.,2018-02-02 15:44:37,[''],[''],,0,1,959573298983133185,https://twitter.com/3LWTV/status/959573298983133185
united,Please have your sister contact us directly for assistance. ^TP,2018-02-02 15:44:20,[''],[''],,0,0,959573227935711232,https://twitter.com/united/status/959573227935711232
chachaspillane,United Airlines Cracking Down On Emotional Support Spouses<em></em> https://www.theonion.com/united-airlines-cracking-down-on-emotional-support-spou-1822676070about:invalid#zSoyz …,2018-02-02 15:43:59,[''],[''],,0,0,959573139322802177,https://twitter.com/chachaspillane/status/959573139322802177
united,Hey Haley. What is your flight number today? ^KF,2018-02-02 15:43:56,[''],[''],,0,0,959573127607889920,https://twitter.com/united/status/959573127607889920
aryalashwin,New post (Why United Airlines has got into a flap over a peacock) has been published on Like|follow|subscribe - http://hawaguff.com/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …pic.twitter.com/tI68PXVMLy,2018-02-02 15:43:20,[''],[''],,0,0,959572975795261442,https://twitter.com/aryalashwin/status/959572975795261442
aryalashwin,"Why United Airlines has got into a flap over a peacock, FEDERAL guidelines in America stipulate that airlines... https://fb.me/1I2g389sS",2018-02-02 15:43:16,[''],[''],,0,0,959572960263720960,https://twitter.com/aryalashwin/status/959572960263720960
voraanand,Any luck?,2018-02-02 15:41:59,[''],[''],,0,0,959572639680487428,https://twitter.com/voraanand/status/959572639680487428
NadineG,You changed my sister's flight she now has a six and a half hour layover and in reward for her troubles you took her aisle seat and gave her a windowless window seat. Way to go,2018-02-02 15:41:39,[''],[''],,0,0,959572552862633985,https://twitter.com/NadineG/status/959572552862633985
amandamdotson,"Last min decision to ditch our home ( # DEN) to # ORD layover due to an orig 30 min delay, & knew the chances of making our 2nd might be slim. Thx 2 Carmen's help at @ United # LAX we made the switch hassle-free & are on our way home. # FlyTheFriendlySkies # HappyTravelers",2018-02-02 15:40:48,['United'],"['DEN', 'ORD', 'LAX', 'FlyTheFriendlySkies', 'HappyTravelers']",,0,0,959572341104640001,https://twitter.com/amandamdotson/status/959572341104640001
united,"Hey Matt, what flight were you on today? ^MD",2018-02-02 15:40:26,[''],[''],,0,0,959572247609397248,https://twitter.com/united/status/959572247609397248
united,"Your secret is safe with us, Carolyn. ^KF",2018-02-02 15:40:23,[''],[''],,0,1,959572233512349696,https://twitter.com/united/status/959572233512349696
LSlay19,Let’s go @ united!!! Why does everybody else have priority over us???? This is what I get when I don’t fly @ Delta or @ AmericanAir ....pic.twitter.com/JxPBuZxzWW,2018-02-02 15:40:05,"[u'united', u'Delta', u'AmericanAir']",[''],,0,0,959572160036720641,https://twitter.com/LSlay19/status/959572160036720641
united,"We never want to interfere with your travel, and are working to have you on your way as soon as we can. We'll be sure to pass this suggestion along to the appropriate department. ^KL",2018-02-02 15:38:45,[''],[''],,0,0,959571824479584256,https://twitter.com/united/status/959571824479584256
LSlay19,I’m not a fan of @ united but the @ staralliance has the best mileage redemptions so I end up flying them.....,2018-02-02 15:37:29,"[u'united', u'staralliance']",[''],,0,0,959571506555650050,https://twitter.com/LSlay19/status/959571506555650050
Dericulous,"Was boarding a United Airlines flight. Was taken aback when the gate agent said over the loud speaker ""passengers with disabilities may board""..really United? What happened to ""persons needing extra time may board."" Seems compassion should be part of your staff training.",2018-02-02 15:36:52,[''],[''],,0,0,959571351878057984,https://twitter.com/Dericulous/status/959571351878057984
LSlay19,@ united has no juice at RDU.... @ JetBlue gets priority over @ united.....,2018-02-02 15:36:33,"['united', 'JetBlue', 'united']",[''],,0,0,959571271179800576,https://twitter.com/LSlay19/status/959571271179800576
theseriousman,Why United Airlines has got into a flap over a peacock http://ift.tt/2DZib5W,2018-02-02 15:36:06,[''],[''],,0,0,959571157111463936,https://twitter.com/theseriousman/status/959571157111463936
andrew_acker,Thanks. Already took care of it.,2018-02-02 15:35:59,[''],[''],,0,0,959571127277375490,https://twitter.com/andrew_acker/status/959571127277375490
LSlay19,@ united is as bad as @ American with on time departures....Smmfh – bei Raleigh-Durham International Airport (RDU),2018-02-02 15:35:18,"[u'united', u'American']",[''],,0,0,959570953800908806,https://twitter.com/LSlay19/status/959570953800908806
senspedia,United Airlines Cracking Down On Emotional Support Spouses https://trib.al/Pbh06Bj,2018-02-02 15:34:57,[''],[''],,0,0,959570869671677953,https://twitter.com/senspedia/status/959570869671677953
MillySalisburry,Why United Airlines has got into a flap over a peacock http://dlvr.it/QDnD3t pic.twitter.com/iI2S9iH3qL,2018-02-02 15:34:34,[''],[''],,0,0,959570769247330304,https://twitter.com/MillySalisburry/status/959570769247330304
BSOLtd,Why United Airlines has got into a flap over a peacock http://business-systems.online/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …,2018-02-02 15:34:28,[''],[''],,0,0,959570745704833025,https://twitter.com/BSOLtd/status/959570745704833025
cconti,Also are the days of free @ DIRECTV when the flights are screwed up gone? After 4 hours I’d hope for free tv and a round of drinks or a Tapas box....,2018-02-02 15:34:16,[u'DIRECTV'],[''],,0,0,959570695322730497,https://twitter.com/cconti/status/959570695322730497
QAMopro,"During a House Transportation Committee hearing on airline customer service, United Airlines CEO Oscar Munoz expla... http://bit.ly/2GHdV8I",2018-02-02 15:32:37,[''],[''],,0,0,959570279075729408,https://twitter.com/QAMopro/status/959570279075729408
