username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
hire_llc,@ united pic.twitter.com/Bb92UPu4KU,2017-04-07 16:59:38,['united'],[''],,0,0,850498331772018688,https://twitter.com/hire_llc/status/850498331772018688
united,Oh dear. Are you at your destination now? ^MD,2017-04-07 16:58:51,[''],[''],,0,0,850498135944159233,https://twitter.com/united/status/850498135944159233
united,You're welcome. We hope to impress you in the future. ^TY,2017-04-07 16:58:41,[''],[''],,0,1,850498093665501184,https://twitter.com/united/status/850498093665501184
united,"Alexandre, this rebooking may depend on the availability of other flights to Brussels. ^AD",2017-04-07 16:57:39,[''],[''],,0,0,850497832133861376,https://twitter.com/united/status/850497832133861376
777Choppers,Yes Trifecta of goodness!,2017-04-07 16:57:30,[''],[''],,0,0,850497796893442049,https://twitter.com/777Choppers/status/850497796893442049
jeromebyrd,Seriously! Are all the planes w/o # wifi in the Southeast? @ delta @ united & @ AmericanAir have wifi in the Southeast. # BusinessTravel,2017-04-07 16:57:22,"['delta', 'united', 'AmericanAir']","['wifi', 'BusinessTravel']",,0,0,850497762126856193,https://twitter.com/jeromebyrd/status/850497762126856193
united,We look forward to having you gated as quickly as possible. We're sorry it's taking longer than expected. ^JR,2017-04-07 16:57:02,[''],[''],,0,0,850497678630764545,https://twitter.com/united/status/850497678630764545
BeessentialBDCR,"@ united Please have someone DM me, asap",2017-04-07 16:56:43,['united'],[''],,1,1,850497597617950720,https://twitter.com/BeessentialBDCR/status/850497597617950720
GarthLuke,How about you call me. That would be appropriate. This whole situation very frustrating.,2017-04-07 16:56:24,[''],[''],,0,0,850497518685175808,https://twitter.com/GarthLuke/status/850497518685175808
jgksf,I stopped flying @ united 8 yrs ago. Now I go @ delta--they have a hub system which means extra stops but good service,2017-04-07 16:55:54,"['united', 'delta']",[''],,0,2,850497394240143360,https://twitter.com/jgksf/status/850497394240143360
abhishekalekar,I am traveling with you guys @ FlyAirNZ but operated by @ united,2017-04-07 16:55:07,"['FlyAirNZ', 'united']",[''],,0,0,850497195459477504,https://twitter.com/abhishekalekar/status/850497195459477504
indigoblueusa,"@ flyethiopian Sadly, I can't fly this airline anymore, as new @ United MileagePlus Award & Premier Qualifying miles are abysmal. # Premier1Kpic.twitter.com/vEflPMI215",2017-04-07 16:54:42,"['flyethiopian', 'United']",['Premier1Kpic'],,1,1,850497090694266880,https://twitter.com/indigoblueusa/status/850497090694266880
crazyhaira,Will do...TY...,2017-04-07 16:54:22,[''],[''],,0,0,850497008146063360,https://twitter.com/crazyhaira/status/850497008146063360
k8linjanee,I used to @ united but now they're nothing but a show,2017-04-07 16:54:22,['united'],[''],,0,0,850497005243711488,https://twitter.com/k8linjanee/status/850497005243711488
ZachHonig,"It does indeed, but that's not how I'd interpret that banner!",2017-04-07 16:54:01,[''],[''],,0,3,850496916706271232,https://twitter.com/ZachHonig/status/850496916706271232
united,"Hello Garth, did you file a delayed baggage report? How much later is it scheduled to arrive then when you landed? ^JR",2017-04-07 16:53:38,[''],[''],,0,0,850496820870389760,https://twitter.com/united/status/850496820870389760
IPillini,"@ united when you pay for economy plus you still board with group 5?? When you fly @ American or @ Delta and pay extra, you get to board early",2017-04-07 16:53:35,"['united', 'American', 'Delta']",[''],,0,0,850496808321208320,https://twitter.com/IPillini/status/850496808321208320
bradtaft,. @ united private screening with no chargers on a 5 hour flight is reason to never fly with you again,2017-04-07 16:53:08,['united'],[''],,0,0,850496695251152896,https://twitter.com/bradtaft/status/850496695251152896
united,That's the way to fly. Looks like a trifecta of good reasons to come along with us. ^JR,2017-04-07 16:52:16,[''],[''],,0,0,850496477675663360,https://twitter.com/united/status/850496477675663360
JohnsonKrystal,@ Delta,2017-04-07 16:52:12,['Delta'],[''],,0,0,850496462651871232,https://twitter.com/JohnsonKrystal/status/850496462651871232
robertpjones,. @ delta somehow @ united @ AmericanAir managed to run an airline this week # deltameltdown,2017-04-07 16:51:47,"['delta', 'united', 'AmericanAir']",['deltameltdown'],,7,22,850496356120768513,https://twitter.com/robertpjones/status/850496356120768513
mizdeena,Oh crap. That's crummy! Hope you get off the ground soon!,2017-04-07 16:51:46,[''],[''],,0,0,850496352027103232,https://twitter.com/mizdeena/status/850496352027103232
united,Understood. Please reach out to our Customer Care team once travel is complete http://bit.ly/U46edh . ^TY,2017-04-07 16:51:45,[''],[''],,0,0,850496346733682690,https://twitter.com/united/status/850496346733682690
united,"Sorry for my misunderstanding, Kelvin. Warmest withes for smooth travels on the rest of the drive. ^AD",2017-04-07 16:51:20,[''],[''],,0,0,850496242761080832,https://twitter.com/united/status/850496242761080832
morgenfeld,I was Global Services for years and now this...,2017-04-07 16:51:04,[''],[''],,0,2,850496175841193986,https://twitter.com/morgenfeld/status/850496175841193986
JohnsonKrystal,Thanks @ united for saving my husband from the HELL called Delta today. Otherwise he would be home next week.,2017-04-07 16:50:51,['united'],[''],,0,0,850496120887422976,https://twitter.com/JohnsonKrystal/status/850496120887422976
united,We're happy to try and assist. Please send us a DM with your concern. ^JR,2017-04-07 16:50:45,[''],[''],,0,0,850496095150940160,https://twitter.com/united/status/850496095150940160
papachi29,@ united where you at!!! Bust up @ Delta marketshare they are pitiful! Poor business management !!,2017-04-07 16:50:29,"['united', 'Delta']",[''],,0,0,850496030324011008,https://twitter.com/papachi29/status/850496030324011008
